Date:Lunch:Dinner
2023-08-25:Deli style roast beef & swiss wrap, housemade potato chips, assorted seasonal berries:Parmesan crusted pollock, housemade tartar sauce, rosemary roasted potatoes, grilled asparagus
2023-08-26:Grilled chicken, cobb salad, flaky dinner roll, fresh fruit:Swedish meatballs over buttered egg noodles, green bean almondine
2023-08-27:Fried chicken sandwich, onion rings, fresh fruit:Cheese ravioli with tomato vodka sauce, roasted broccoli, garlic bread
2023-08-28:Marinated steak chef salad, fresh fruit, flaky dinner roll:Barbecued babyback pork ribs, loaded baked potato, grilled zucchini
2023-08-29:BLT sandwich with locally grown tomatoes, broccoli raisin salad, fresh fruit:Herb crusted tilapia filet with tartar sauce, parsley buttered potatoes, fresh steamed green beans
2023-08-30:Fried egg sandwich with provolone & avocado, waffle fries with sour cream, fresh fruit:Beef Kabab, roasted carrots, israeli couscous
2023-08-31:Chicken, caprese salad, dinner roll, fresh fruit:Pesto chicken, pea risotto, tomato salad
2023-09-01:Sliced roast pork sandwich, garden pasta salad, fresh fruit:Grilled citrus salmon, arroz verde green rice, roasted cauliflower
2023-09-02:Grilled beef fajitas, elote salad, fresh pineapple:Chicken penne alfredo, caesar salad, garlic bread
